"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"18","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2","",""
"19","PF3","I/O","","","","","","","","","","","","","","","FMC_A3","",""
"20","PF4","I/O","","","","","","","","","","","","","","","FMC_A4","",""
"21","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","",""
"22","VSS","Power","","","","","","","","","","","","","","","","",""
"23","VDD","Power","","","","","","","","","","","","","","","","",""
"24","PF6","I/O","","","","TIM16_CH1","","","","SPI5_NSS","SAI1_SD_B","UART7_RX","SAI4_SD_B","QUADSPI_BK1_IO3","","","","",""
"25","PF7","I/O","","","","TIM17_CH1","","","","SPI5_SCK","SAI1_MCLK_B","UART7_TX","SAI4_MCLK_B","QUADSPI_BK1_IO2","","","","",""
"26","PF8","I/O","","","","TIM16_CH1N","","","","SPI5_MISO","SAI1_SCK_B","UART7_DE/UART7_RTS","SAI4_SCK_B","TIM13_CH1","QUADSPI_BK1_IO0","","","",""
"27","PF9","I/O","","","","TIM17_CH1N","","","","SPI5_MOSI","SAI1_FS_B","UART7_CTS","SAI4_FS_B","TIM14_CH1","QUADSPI_BK1_IO1","","","",""
"28","PF10","I/O","","","","TIM16_BKIN","SAI1_D3","","","","","","","QUADSPI_CLK","SAI4_D3","","","DCMI_D11","LTDC_DE"
"29","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","",""
"30","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","",""
"31","NRST","Reset","","","","","","","","","","","","","","","","",""
"32","PC0","I/O","","","","","","DFSDM1_CKIN0","","","DFSDM1_DATIN4","","SAI2_FS_B","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE","","LTDC_R5"
"33","PC1","I/O","","","DEBUG_TRACED0","","SAI1_D1","DFSDM1_DATIN0","DFSDM1_CKIN4","I2S2_SDO/SPI2_MOSI","SAI1_SD_A","","SAI4_SD_A","SDMMC2_CK","SAI4_D1","ETH_MDC","MDIOS_MDC","",""
"34","PC2_C","I/O","","","","","","","","","","","","","","","","",""
"35","PC3_C","I/O","","","","","","","","","","","","","","","","",""
"36","VDD","Power","","","","","","","","","","","","","","","","",""
"37","VSSA","Power","","","","","","","","","","","","","","","","",""
"38","VREF+","MonoIO","","","","","","","","","","","","","","","","",""
"39","VDDA","Power","","","","","","","","","","","","","","","","",""
"40","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","TIM15_BKIN","","","USART2_CTS/USART2_NSS","UART4_TX","SDMMC2_CMD","SAI2_SD_B","ETH_CRS","","",""
"41","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","LPTIM3_OUT","TIM15_CH1N","","","USART2_DE/USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","SAI2_MCLK_B","ETH_REF_CLK/ETH_RX_CLK","","","LTDC_R2"
