"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"142","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","HRTIM_CHB2","TIM8_BKIN2","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","UART7_RX","TIM8_BKIN2_COMP1/TIM8_BKIN2_COMP2","LTDC_B3","LTDC_R6"
"143","PA9","I/O","","","","TIM1_CH2","HRTIM_CHC1","LPUART1_TX","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","","","","DCMI_D0","LTDC_R5"
"144","PA10","I/O","","","","TIM1_CH3","HRTIM_CHC2","LPUART1_RX","","","","USART1_RX","","","USB_OTG_FS_ID","MDIOS_MDIO","LTDC_B4","DCMI_D1","LTDC_B1"
"145","PA11","I/O","","","","TIM1_CH4","HRTIM_CHD1","LPUART1_CTS","","I2S2_WS/SPI2_NSS","UART4_RX","USART1_CTS/USART1_NSS","","FDCAN1_RX","USB_OTG_FS_DM","","","","LTDC_R4"
"146","PA12","I/O","","","","TIM1_ETR","HRTIM_CHD2","LPUART1_DE/LPUART1_RTS","","I2S2_CK/SPI2_SCK","UART4_TX","USART1_DE/USART1_RTS","SAI2_FS_B","FDCAN1_TX","USB_OTG_FS_DP","","","","LTDC_R5"
"147","PA13 (JTMS/SWDIO)","I/O","","","DEBUG_JTMS-SWDIO","","","","","","","","","","","","","",""
"148","VCAP","Power","","","","","","","","","","","","","","","","",""
"149","VSS","Power","","","","","","","","","","","","","","","","",""
"150","VDD","Power","","","","","","","","","","","","","","","","",""
"151","PH13","I/O","","","","","","TIM8_CH1N","","","","","UART4_TX","FDCAN1_TX","","","FMC_D21","","LTDC_G2"
"152","PH14","I/O","","","","","","TIM8_CH2N","","","","","UART4_RX","FDCAN1_RX","","","FMC_D22","DCMI_D4","LTDC_G3"
"153","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","FMC_D23","DCMI_D11","LTDC_G4"
"154","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","FMC_D24","DCMI_D13","LTDC_G5"
"155","PI1","I/O","","","","","","TIM8_BKIN2","","I2S2_CK/SPI2_SCK","","","","","","TIM8_BKIN2_COMP1/TIM8_BKIN2_COMP2","FMC_D25","DCMI_D8","LTDC_G6"
"156","PI2","I/O","","","","","","TIM8_CH4","","I2S2_SDI/SPI2_MISO","","","","","","","FMC_D26","DCMI_D9","LTDC_G7"
"157","PI3","I/O","","","","","","TIM8_ETR","","I2S2_SDO/SPI2_MOSI","","","","","","","FMC_D27","DCMI_D10",""
"158","VDD","Power","","","","","","","","","","","","","","","","",""
"159","PA14 (JTCK/SWCLK)","I/O","","","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","",""
"160","PA15 (JTDI)","I/O","","","DEBUG_JTDI","TIM2_CH1/TIM2_ETR","HRTIM_FLT1","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SPI6_NSS","UART4_DE/UART4_RTS","","","UART7_TX","","",""
"161","PC10","I/O","","","","","HRTIM_EEV1","DFSDM1_CKIN5","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDMMC1_D2","DCMI_D8","LTDC_R2"
"162","PC11","I/O","","","","","HRTIM_FLT2","DFSDM1_DATIN5","","","I2S3_SDI/SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDMMC1_D3","DCMI_D4",""
"163","PC12","I/O","","","DEBUG_TRACED3","","HRTIM_EEV2","","","","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDMMC1_CK","DCMI_D9",""
"164","PD0","I/O","","","","","","DFSDM1_CKIN6","","","SAI3_SCK_A","","UART4_RX","FDCAN1_RX","","","FMC_D2/FMC_DA2","",""
"165","PD1","I/O","","","","","","DFSDM1_DATIN6","","","SAI3_SD_A","","UART4_TX","FDCAN1_TX","","","FMC_D3/FMC_DA3","",""
"166","PD2","I/O","","","DEBUG_TRACED2","","TIM3_ETR","","","","","","UART5_RX","","","","SDMMC1_CMD","DCMI_D11",""
"167","PD3","I/O","","","","","","DFSDM1_CKOUT","","I2S2_CK/SPI2_SCK","","USART2_CTS/USART2_NSS","","","","","FMC_CLK","DCMI_D5","LTDC_G7"
"168","PD4","I/O","","","","","HRTIM_FLT3","","","","SAI3_FS_A","USART2_DE/USART2_RTS","","","","","FMC_NOE","",""
"169","PD5","I/O","","","","","HRTIM_EEV3","","","","","USART2_TX","","","","","FMC_NWE","",""
"170","VSS","Power","","","","","","","","","","","","","","","","",""
"171","VDD","Power","","","","","","","","","","","","","","","","",""
"172","PD6","I/O","","","","","SAI1_D1","DFSDM1_CKIN4","DFSDM1_DATIN1","I2S3_SDO/SPI3_MOSI","SAI1_SD_A","USART2_RX","SAI4_SD_A","","SAI4_D1","SDMMC2_CK","FMC_NWAIT","DCMI_D10","LTDC_B2"
"173","PD7","I/O","","","","","","DFSDM1_DATIN4","","I2S1_SDO/SPI1_MOSI","DFSDM1_CKIN1","USART2_CK","","SPDIFRX1_IN0","","SDMMC2_CMD","FMC_NE1","",""
"174","PJ12","I/O","","","DEBUG_TRGOUT","","","","","","","","","LTDC_G3","","","","","LTDC_B0"
"175","PJ13","I/O","","","","","","","","","","","","LTDC_B4","","","","","LTDC_B1"
"176","PJ14","I/O","","","","","","","","","","","","","","","","","LTDC_B2"
"177","PJ15","I/O","","","","","","","","","","","","","","","","","LTDC_B3"
"178","PG9","I/O","","","","","","","","I2S1_SDI/SPI1_MISO","","USART6_RX","SPDIFRX1_IN3","QUADSPI_BK2_IO2","SAI2_FS_B","","FMC_NCE/FMC_NE2","DCMI_VSYNC",""
"179","PG10","I/O","","","","","HRTIM_FLT5","","","I2S1_WS/SPI1_NSS","","","","LTDC_G3","SAI2_SD_B","","FMC_NE3","DCMI_D2","LTDC_B2"
"180","PG11","I/O","","","","LPTIM1_IN2","HRTIM_EEV4","","","I2S1_CK/SPI1_SCK","","","SPDIFRX1_IN0","","SDMMC2_D2","ETH_TX_EN","","DCMI_D3","LTDC_B3"
"181","PG12","I/O","","","","LPTIM1_IN1","HRTIM_EEV5","","","SPI6_MISO","","USART6_DE/USART6_RTS","SPDIFRX1_IN1","LTDC_B4","","ETH_TXD1","FMC_NE4","","LTDC_B1"
"182","PG13","I/O","","","DEBUG_TRACED0","LPTIM1_OUT","HRTIM_EEV10","","","SPI6_SCK","","USART6_CTS/USART6_NSS","","","","ETH_TXD0","FMC_A24","","LTDC_R0"
"183","PG14","I/O","","","DEBUG_TRACED1","LPTIM1_ETR","","","","SPI6_MOSI","","USART6_TX","","QUADSPI_BK2_IO3","","ETH_TXD1","FMC_A25","","LTDC_B0"
"184","VSS","Power","","","","","","","","","","","","","","","","",""
"185","VDD","Power","","","","","","","","","","","","","","","","",""
"186","PK3","I/O","","","","","","","","","","","","","","","","","LTDC_B4"
"187","PK4","I/O","","","","","","","","","","","","","","","","","LTDC_B5"
"188","PK5","I/O","","","","","","","","","","","","","","","","","LTDC_B6"
"189","PK6","I/O","","","","","","","","","","","","","","","","","LTDC_B7"
"190","PK7","I/O","","","","","","","","","","","","","","","","","LTDC_DE"
"191","PG15","I/O","","","","","","","","","","USART6_CTS/USART6_NSS","","","","","FMC_SDNCAS","DCMI_D13",""
