"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"G11","VLXSMPS","Power","","","","","","","","","","","","","","","","",""
"G12","VSSSMPS","Power","","","","","","","","","","","","","","","","",""
"G13","VSSSMPS","Power","","","","","","","","","","","","","","","","",""
"H1","PC1","I/O","","","","LPTIM1_OUT","","SPI2_MOSI","I2C3_SDA","","","","LPUART1_TX","","","LCD_SEG19","","",""
"H2","NRST","Reset","","","","","","","","","","","","","","","","",""
"H3","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","","","LPUART1_RX","","","LCD_SEG18","","","LPTIM2_IN1"
"H4","PB9","I/O","","","","TIM1_CH3N","","SAI1_D2","I2C1_SDA","SPI2_NSS","","","IR_OUT","TSC_G7_IO4","QUADSPI_BK1_IO0","LCD_COM3","","SAI1_FS_A","TIM17_CH1"
"H6","VDD","Power","","","","","","","","","","","","","","","","",""
"H8","VDD","Power","","","","","","","","","","","","","","","","",""
"H10","PB12","I/O","","","","","","TIM1_BKIN","I2C3_SMBA","SPI2_NSS","","","LPUART1_DE/LPUART1_RTS","TSC_G1_IO1","","LCD_SEG12","","SAI1_FS_A",""
"H11","VFBSMPS","Power","","","","","","","","","","","","","","","","",""
"H12","PE3","I/O","","","","","","","","","","","","","","","","",""
"H13","PE4","I/O","","","","","","","","","","","","","","","","",""
"J2","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","","","","","","LCD_SEG20","","",""
"J3","PC3","I/O","","","","LPTIM1_ETR","","SAI1_D1","","SPI2_MOSI","","","","","","LCD_VLCD","","SAI1_SD_A","LPTIM2_ETR"
"J5","VSS","Power","","","","","","","","","","","","","","","","",""
